customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,age_clean,job title,industry,wealth_segment,deceased_iNodicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,1953-10-12,71,71,Executive Secretary,Health,Mass Customer,No,Yes,11
2,Eli,Bockman,Male,81,1980-12-16,44,44,Administrative Officer,Financial Services,Mass Customer,No,Yes,16
3,Arlin,Dearle,Male,61,1954-01-20,71,71,Recruiting Manager,Property,Mass Customer,No,Yes,15
4,Talbot,,Male,33,1961-10-03,63,63,,IT,Mass Customer,No,No,7
5,Sheila-kathryn,Calton,Female,56,1977-05-13,48,48,Senior Editor,,Affluent Customer,No,Yes,8
6,Curr,Duckhouse,Male,35,1966-09-16,58,58,,Retail,High Net Worth,No,Yes,13
7,Fina,Merali,Female,6,1976-02-23,49,49,,Financial Services,Affluent Customer,No,Yes,11
8,Rod,Inder,Male,31,1962-03-30,63,63,Media Manager I,,Mass Customer,No,No,7
9,Mala,Lind,Female,97,1973-03-10,52,52,Business Systems Development Analyst,Argiculture,Affluent Customer,No,Yes,8
10,Fiorenze,Birdall,Female,49,1988-10-11,36,36,Senior Quality Engineer,Financial Services,Mass Customer,No,Yes,20
11,Uriah,Bisatt,Male,99,1954-04-30,71,71,,Property,Mass Customer,No,No,9
12,Sawyere,Flattman,Male,58,1994-07-21,30,30,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,8
13,Gabriele,Norcross,Male,38,1955-02-15,70,70,Developer I,Financial Services,High Net Worth,No,Yes,8
14,Rayshell,Kitteman,Female,85,1983-03-25,42,42,Account Executive,Financial Services,Affluent Customer,No,No,6
15,Erroll,Radage,Male,91,2000-07-13,24,24,Junior Executive,Manufacturing,Mass Customer,No,No,1
16,Harlin,Parr,Male,38,1977-02-27,48,48,Media Manager IV,,Mass Customer,No,Yes,18
17,Heath,Faraday,Male,57,1962-03-19,63,63,Sales Associate,,Affluent Customer,No,Yes,15
